번호,개봉_연도,개봉_월,개봉_요일,여름_개봉,겨울_개봉,대표장르,대표국가,한국_영화,평균기온,최고기온,백만_돌파
2791,2020,6,3,0,0,미스터리,,0,21.9,26.5,0
2792,2020,6,2,0,0,드라마,,0,25.8,32.1,0
2793,2020,6,2,0,0,멜로/로맨스,일본,0,25.8,32.1,0
2794,2020,6,2,0,0,공연,한국,1,25.8,32.1,0
2795,2020,6,2,0,0,드라마,영국,0,25.8,32.1,0
2796,2020,6,2,0,0,코미디,미국,0,25.8,32.1,0
2797,2020,6,2,0,0,애니메이션,,0,24.3,30.3,0
2798,2020,6,3,0,0,미스터리,,0,23.4,27.3,0
2799,2020,6,3,0,0,드라마,,0,23.4,27.3,0
2800,2020,6,2,0,0,드라마,,0,22.3,26.3,1
2801,2020,6,2,0,0,드라마,,0,22.3,26.3,0
2802,2020,7,2,1,0,사극,한국,1,21.1,24.3,0
2803,2020,7,2,1,0,SF,러시아,0,21.1,24.3,0
2804,2020,7,3,1,0,드라마,미국,0,24.2,29.8,0
2805,2020,7,2,1,0,드라마,미국,0,25.5,30.4,0
2806,2020,7,2,1,0,판타지,캐나다,0,25.5,30.4,0
2807,2020,7,3,1,0,멜로/로맨스,중국,0,27.5,32.9,0
2808,2020,7,2,1,0,액션,한국,1,23.4,28.7,1
2809,2020,7,3,1,0,미스터리,미국,0,25.0,29.7,0
2810,2020,7,2,1,0,스릴러,미국,0,23.7,25.7,0
2811,2020,7,2,1,0,드라마,일본,0,23.7,25.7,0
2812,2020,7,3,1,0,멜로/로맨스,프랑스,0,21.1,22.6,0
2813,2020,7,2,1,0,드라마,한국,1,23.7,24.9,1
2814,2020,7,2,1,0,애니메이션,중국,0,23.7,24.9,0
2815,2020,8,2,1,0,범죄,한국,1,26.5,29.1,1
2816,2020,8,2,1,0,애니메이션,미국,0,26.5,29.1,0
2817,2020,8,2,1,0,애니메이션,우크라이나,0,27.2,31.3,0
2818,2020,8,2,1,0,코미디,한국,1,27.2,31.3,1
2819,2020,8,3,1,0,공포(호러),기타,0,28.0,30.3,0
2820,2020,8,3,1,0,드라마,프랑스,0,28.0,30.3,0
2821,2020,8,2,1,0,드라마,영국,0,27.1,31.4,0
2822,2020,8,3,1,0,드라마,한국,1,27.7,31.7,0
2823,2020,8,3,1,0,애니메이션,일본,0,27.7,31.7,0
2824,2020,8,2,1,0,액션,미국,0,30.2,34.5,1
2825,2020,9,2,0,0,코미디,한국,1,24.3,26.4,0
2826,2020,9,2,0,0,미스터리,영국,0,24.3,26.4,0
2827,2020,9,3,0,0,다큐멘터리,한국,1,22.7,25.6,0
2828,2020,9,2,0,0,공포(호러),한국,1,21.1,25.3,0
2829,2020,9,2,0,0,액션,미국,0,21.1,25.3,0
2830,2020,9,3,0,0,액션,미국,0,22.8,27.0,0
2831,2020,9,2,0,0,공포(호러),미국,0,22.5,24.9,0
2832,2020,9,3,0,0,어드벤처,미국,0,21.3,23.6,0
2833,2020,9,3,0,0,드라마,한국,1,21.3,23.6,0
2834,2020,9,2,0,0,액션,한국,1,19.2,23.8,0
2835,2020,9,2,0,0,스릴러,한국,1,19.2,23.8,0
2836,2020,9,2,0,0,전쟁,미국,0,19.2,23.8,0
2837,2020,9,3,0,0,다큐멘터리,한국,1,20.6,25.4,0
2838,2020,9,3,0,0,애니메이션,일본,0,20.6,25.4,0
2839,2020,9,1,0,0,코미디,한국,1,19.6,23.9,0
2840,2020,9,1,0,0,코미디,한국,1,19.6,23.9,0
2841,2020,9,1,0,0,드라마,한국,1,19.6,23.9,1
2842,2020,9,1,0,0,액션,미국,0,19.6,23.9,0
2843,2020,9,1,0,0,공연,한국,1,19.6,23.9,0
2844,2020,9,2,0,0,애니메이션,일본,0,19.6,25.7,0
2845,2020,9,2,0,0,애니메이션,한국,1,19.6,25.7,0
2846,2020,10,2,0,0,멜로/로맨스,미국,0,16.0,22.0,0
2847,2020,10,2,0,0,스릴러,미국,0,16.0,22.0,0
2848,2020,10,3,0,0,코미디,미국,0,17.2,23.1,0
2849,2020,10,2,0,0,범죄,미국,0,12.8,18.0,0
2850,2020,10,3,0,0,드라마,한국,1,11.7,18.5,0
2851,2020,10,3,0,0,범죄,한국,1,11.7,18.5,0
2852,2020,10,3,0,0,애니메이션,일본,0,11.7,18.5,0
2853,2020,10,2,0,0,드라마,한국,1,14.1,17.3,1
2854,2020,10,3,0,0,애니메이션,중국,0,13.5,18.2,0
2855,2020,10,3,0,0,드라마,한국,1,13.5,18.2,0
2856,2020,10,3,0,0,애니메이션,일본,0,13.5,18.2,0
2857,2020,10,3,0,0,공연,한국,1,13.5,18.2,0
2858,2020,10,2,0,0,드라마,미국,0,13.8,18.2,0
2859,2020,10,2,0,0,액션,한국,1,13.8,18.2,0
2860,2020,11,2,0,0,범죄,,0,4.9,10.8,1
2861,2020,11,2,0,0,액션,영국,0,9.3,16.5,0
2862,2020,11,3,0,0,드라마,한국,1,10.4,17.7,0
2863,2020,11,3,0,0,드라마,한국,1,10.4,17.7,0
2864,2020,11,3,0,0,애니메이션,,0,10.4,17.7,0
2865,2020,11,3,0,0,애니메이션,영국,0,10.4,17.7,0
2866,2020,11,2,0,0,드라마,,0,16.6,18.7,0
2867,2020,11,2,0,0,액션,미국,0,16.6,18.7,0
2868,2020,11,3,0,0,애니메이션,한국,1,13.6,19.1,0
2869,2020,11,4,0,0,미스터리,,0,2.8,7.0,0
2870,2020,11,2,0,0,드라마,,0,4.6,9.5,0
2871,2020,11,2,0,0,코미디,미국,0,4.6,9.5,0
2872,2020,11,3,0,0,다큐멘터리,미국,0,5.6,10.9,0
2873,2020,12,2,0,1,드라마,한국,1,2.4,6.1,0
2874,2020,12,2,0,1,코미디,미국,0,2.4,6.1,0
2875,2020,12,3,0,1,드라마,미국,0,0.7,4.2,0
2876,2020,12,2,0,1,드라마,미국,0,1.5,6.2,0
2877,2020,12,3,0,1,멜로/로맨스,,0,5.8,9.3,0
2878,2020,12,3,0,1,전쟁,중국,0,5.8,9.3,0
2879,2020,12,2,0,1,드라마,미국,0,-8.3,-3.9,0
2880,2020,12,3,0,1,드라마,미국,0,-4.9,0.8,0
2881,2020,12,2,0,1,액션,,0,4.5,8.5,0
2882,2020,12,3,0,1,애니메이션,,0,2.6,6.1,0
2883,2020,12,3,0,1,멜로/로맨스,,0,2.6,6.1,0
2884,2020,12,2,0,1,스릴러,호주,0,-10.9,-6.2,0
2885,2020,12,2,0,1,액션,중국,0,-10.9,-6.2,0
2886,2021,1,2,0,1,애니메이션,기타,0,-7.4,-1.9,0
2887,2021,1,2,0,1,드라마,미국,0,-7.4,-1.9,0
2888,2021,1,3,0,1,드라마,독일,0,-14.5,-8.4,0
2889,2021,1,3,0,1,드라마,폴란드,0,-14.5,-8.4,0
2890,2021,1,3,0,1,드라마,네덜란드,0,1.7,7.0,0
2891,2021,1,3,0,1,멜로/로맨스,프랑스,0,1.7,7.0,0
2892,2021,1,3,0,1,드라마,호주,0,1.7,7.0,0
2893,2021,1,3,0,1,멜로/로맨스,기타,0,1.7,7.0,0
2894,2021,1,2,0,1,공포(호러),미국,0,-0.1,7.1,0
2895,2021,1,2,0,1,애니메이션,미국,0,-0.1,7.1,1
2896,2021,1,3,0,1,드라마,프랑스,0,4.5,7.0,0
2897,2021,1,2,0,1,애니메이션,일본,0,1.7,6.5,1
2898,2021,1,2,0,1,코미디,미국,0,1.7,6.5,0
2899,2021,1,2,0,1,애니메이션,일본,0,1.7,6.5,0
2900,2021,1,2,0,1,드라마,한국,1,1.7,6.5,0
2901,2021,1,2,0,1,다큐멘터리,한국,1,1.7,6.5,0
2902,2021,1,3,0,1,드라마,한국,1,-2.6,1.4,0
2903,2021,2,2,0,0,애니메이션,한국,1,-3.2,1.4,0
2904,2021,2,2,0,0,액션,미국,0,-3.2,1.4,0
2905,2021,2,3,0,0,가족,미국,0,-3.6,0.7,0
2906,2021,2,2,0,0,멜로/로맨스,한국,1,3.4,7.2,0
2907,2021,2,2,0,0,애니메이션,기타,0,3.4,7.2,0
2908,2021,2,2,0,0,드라마,한국,1,3.4,7.2,0
2909,2021,2,2,0,0,액션,미국,0,3.4,7.2,0
2910,2021,2,3,0,0,공연,한국,1,5.5,10.9,0
2911,2021,2,2,0,0,코미디,한국,1,-8.3,-5.2,0
2912,2021,2,2,0,0,드라마,한국,1,-8.3,-5.2,0
2913,2021,2,2,0,0,미스터리,네덜란드,0,-8.3,-5.2,0
2914,2021,2,4,0,0,범죄,미국,0,1.6,8.9,0
2915,2021,2,2,0,0,드라마,한국,1,2.9,10.1,0
2916,2021,2,2,0,0,애니메이션,미국,0,2.9,10.1,0
2917,2021,2,2,0,0,코미디,미국,0,2.9,10.1,0
2918,2021,2,2,0,0,드라마,기타,0,2.9,10.1,0
2919,2021,2,2,0,0,어드벤처,미국,0,2.9,10.1,0
2920,2021,3,2,0,0,드라마,미국,0,4.4,9.9,1
2921,2021,3,3,0,0,애니메이션,미국,0,7.2,13.0,0
2922,2021,3,3,0,0,스릴러,영국,0,10.2,17.1,0
2923,2021,3,3,0,0,액션,스페인,0,10.2,17.1,0
2924,2021,3,3,0,0,액션,미국,0,10.2,17.1,0
2925,2021,3,2,0,0,스릴러,미국,0,8.8,17.5,0
2926,2021,3,2,0,0,액션,러시아,0,8.8,17.5,0
2927,2021,3,4,0,0,공연,한국,1,15.3,20.2,0
2928,2021,3,2,0,0,공포(호러),한국,1,10.8,16.9,0
2929,2021,3,2,0,0,드라마,한국,1,10.8,16.9,0
2930,2021,3,3,0,0,액션,미국,0,11.9,19.0,0
2931,2021,3,2,0,0,드라마,한국,1,14.5,22.9,0
2932,2021,3,2,0,0,사극,한국,1,14.5,22.9,0
2933,2021,3,2,0,0,애니메이션,일본,0,14.5,22.9,0
2934,2021,3,2,0,0,멜로/로맨스,기타,0,14.5,22.9,0
2935,2021,4,2,0,0,드라마,영국,0,14.1,20.4,0
2936,2021,4,2,0,0,드라마,영국,0,14.1,20.4,0
2937,2021,4,2,0,0,액션,미국,0,14.1,20.4,0
2938,2021,4,3,0,0,액션,미국,0,13.0,18.0,0
2939,2021,4,3,0,0,드라마,한국,1,11.6,18.3,0
2940,2021,4,3,0,0,드라마,한국,1,11.6,18.3,0
2941,2021,4,3,0,0,드라마,미국,0,11.6,18.3,0
2942,2021,4,4,0,0,애니메이션,일본,0,11.3,14.8,0
2943,2021,4,2,0,0,미스터리,한국,1,19.1,28.2,0
2944,2021,4,2,0,0,드라마,한국,1,14.5,18.2,0
2945,2021,4,2,0,0,스릴러,미국,0,14.5,18.2,0
2946,2021,4,2,0,0,애니메이션,영국,0,14.5,18.2,0
2947,2021,4,2,0,0,액션,미국,0,14.5,18.2,0
2948,2021,5,2,0,0,애니메이션,미국,0,13.9,18.4,0
2949,2021,5,2,0,0,애니메이션,한국,1,13.9,18.4,0
2950,2021,5,2,0,0,범죄,미국,0,13.9,18.4,0
2951,2021,5,2,0,0,드라마,한국,1,22.0,27.7,0
2952,2021,5,2,0,0,드라마,한국,1,22.0,27.7,0
2953,2021,5,2,0,0,스릴러,헝가리,0,22.0,27.7,0
2954,2021,5,2,0,0,액션,,0,19.9,26.6,1
2955,2021,5,2,0,0,애니메이션,일본,0,19.9,26.6,0
2956,2021,5,2,0,0,범죄,한국,1,18.0,23.0,0
2957,2021,5,2,0,0,드라마,,0,18.0,23.0,1
2958,2021,5,2,0,0,SF,미국,0,18.0,23.0,0
2959,2021,5,2,0,0,애니메이션,일본,0,18.0,23.0,0
2960,2021,6,2,0,0,드라마,미국,0,23.2,29.7,0
2961,2021,6,3,0,0,애니메이션,일본,0,19.1,22.7,0
2962,2021,6,3,0,0,공포(호러),,0,19.1,22.7,0
2963,2021,6,2,0,0,액션,미국,0,25.8,31.6,0
2964,2021,6,3,0,0,드라마,캐나다,0,24.9,29.8,0
2965,2021,6,3,0,0,애니메이션,일본,0,24.9,29.8,0
2966,2021,6,2,0,0,스릴러,,0,24.3,28.9,0
2967,2021,6,2,0,0,드라마,일본,0,24.3,28.9,0
2968,2021,6,3,0,0,애니메이션,,0,21.9,25.0,0
2969,2021,6,3,0,0,미스터리,,0,21.9,25.0,0
2970,2021,6,2,0,0,스릴러,,0,22.4,27.9,0
2971,2021,6,2,0,0,액션,,0,22.4,27.9,0
2972,2021,6,2,0,0,스릴러,,0,24.3,28.8,0
2973,2021,6,2,0,0,뮤지컬,미국,0,24.3,28.8,0
2974,2021,6,2,0,0,액션,러시아,0,24.3,28.8,0
2975,2021,6,2,0,0,공포(호러),한국,1,24.3,28.8,0
2976,2021,7,2,1,0,액션,미국,0,26.4,29.1,1
2977,2021,7,2,1,0,멜로/로맨스,미국,0,29.7,33.5,0
2978,2021,7,2,1,0,멜로/로맨스,일본,0,29.7,33.5,0
2979,2021,7,2,1,0,액션,미국,0,29.7,33.5,0
2980,2021,7,2,1,0,공포(호러),한국,1,29.7,33.5,0
2981,2021,7,3,1,0,애니메이션,미국,0,29.1,34.5,0
2982,2021,7,2,1,0,공포(호러),영국,0,30.5,35.3,0
2983,2021,7,2,1,0,애니메이션,미국,0,30.5,35.3,0
2984,2021,7,2,1,0,스릴러,미국,0,30.5,35.3,0
2985,2021,7,3,1,0,애니메이션,일본,0,31.2,35.9,0
2986,2021,7,2,1,0,미스터리,한국,1,30.4,34.7,0
2987,2021,7,2,1,0,액션,한국,1,30.4,34.7,1
2988,2021,7,2,1,0,액션,미국,0,30.4,34.7,0
2989,2021,8,2,1,0,액션,미국,0,28.9,33.2,0
2990,2021,8,2,1,0,공연,한국,1,28.9,33.2,0
2991,2021,8,3,1,0,어드벤처,미국,0,29.4,33.7,0
2992,2021,8,3,1,0,애니메이션,일본,0,29.4,33.7,0
2993,2021,8,2,1,0,액션,미국,0,27.4,31.6,0
2994,2021,8,2,1,0,코미디,한국,1,27.4,31.6,1
2995,2021,8,2,1,0,액션,한국,1,24.3,31.0,1
2996,2021,8,2,1,0,공포(호러),미국,0,24.3,31.0,0
2997,2021,8,2,1,0,애니메이션,미국,0,24.3,31.0,0
2998,2021,8,2,1,0,미스터리,한국,1,25.0,27.3,0
2999,2021,8,2,1,0,SF,미국,0,25.0,27.3,0
3000,2021,8,2,1,0,코미디,중국,0,25.0,27.3,0
3001,2021,8,1,1,0,드라마,프랑스,0,20.5,23.1,0
3002,2021,9,2,0,0,액션,미국,0,21.4,23.9,1
3003,2021,9,2,0,0,공포(호러),미국,0,21.4,23.9,0
3004,2021,9,2,0,0,액션,프랑스,0,22.2,26.9,0
3005,2021,9,2,0,0,범죄,한국,1,23.6,28.9,1
3006,2021,9,2,0,0,드라마,한국,1,23.6,28.9,0
3007,2021,9,2,0,0,애니메이션,일본,0,23.6,28.9,0
3008,2021,9,2,0,0,애니메이션,일본,0,23.6,28.9,0
3009,2021,9,2,0,0,스릴러,미국,0,23.6,28.9,0
3010,2021,9,2,0,0,미스터리,미국,0,20.2,24.3,0
3011,2021,9,2,0,0,액션,미국,0,20.2,21.4,1
3012,2021,9,2,0,0,스릴러,한국,1,20.2,21.4,0
3013,2021,9,2,0,0,애니메이션,일본,0,20.2,21.4,0
3014,2021,10,2,0,0,스릴러,한국,1,18.8,21.7,0
3015,2021,10,2,0,0,액션,미국,0,19.6,25.2,1
3016,2021,10,3,0,0,드라마,한국,1,19.7,23.9,0
3017,2021,10,3,0,0,다큐멘터리,한국,1,19.7,23.9,0
3018,2021,10,2,0,0,SF,미국,0,9.5,15.8,1
3019,2021,10,2,0,0,액션,미국,0,9.5,15.8,0
3020,2021,10,2,0,0,드라마,프랑스,0,13.4,18.1,0
3021,2021,10,2,0,0,멜로/로맨스,미국,0,13.4,18.1,0
3022,2021,10,2,0,0,애니메이션,영국,0,13.4,18.1,0
3023,2021,10,2,0,0,애니메이션,미국,0,13.4,18.1,0
3024,2021,11,2,0,0,액션,미국,0,12.1,17.1,1
3025,2021,11,3,0,0,드라마,미국,0,12.1,16.3,0
3026,2021,11,2,0,0,범죄,한국,1,4.2,7.7,0
3027,2021,11,2,0,0,애니메이션,일본,0,4.2,7.7,0
3028,2021,11,2,0,0,애니메이션,,0,4.2,7.7,0
3029,2021,11,4,0,0,드라마,미국,0,4.5,8.6,0
3030,2021,11,2,0,0,드라마,한국,1,7.5,12.5,0
3031,2021,11,2,0,0,뮤지컬,,0,7.5,12.5,0
3032,2021,11,2,0,0,애니메이션,일본,0,7.5,12.5,0
3033,2021,11,3,0,0,코미디,미국,0,11.9,16.2,0
3034,2021,11,2,0,0,판타지,한국,1,4.1,9.1,0
3035,2021,11,2,0,0,멜로/로맨스,,0,4.1,9.1,0
3036,2021,11,2,0,0,애니메이션,,0,4.1,9.1,0
3037,2021,12,2,0,1,애니메이션,한국,1,-1.3,1.5,0
3038,2021,12,2,0,1,어드벤처,미국,0,-1.3,1.5,0
3039,2021,12,2,0,1,공포(호러),미국,0,-1.3,1.5,0
3040,2021,12,2,0,1,애니메이션,일본,0,-1.3,1.5,0
3041,2021,12,2,0,1,다큐멘터리,한국,1,6.7,13.3,0
3042,2021,12,2,0,1,코미디,미국,0,6.7,13.3,0
3043,2021,12,3,0,1,애니메이션,,0,6.5,9.7,0
3044,2021,12,2,0,1,액션,,0,7.2,10.0,1
3045,2021,12,2,0,1,액션,,0,2.2,8.2,1
3046,2021,12,2,0,1,액션,,0,2.2,8.2,0
3047,2021,12,2,0,1,애니메이션,,0,2.2,8.2,0
3048,2021,12,3,0,1,드라마,,0,2.7,8.3,0
3049,2021,12,2,0,1,멜로/로맨스,한국,1,0.4,5.9,0
3050,2021,12,2,0,1,공포(호러),기타,0,0.4,5.9,0
3051,2022,1,2,0,1,범죄,한국,1,-2.8,1.9,0
3052,2022,1,2,0,1,애니메이션,미국,0,-2.8,1.9,0
3053,2022,1,0,0,1,액션,영국,0,0.5,4.4,0
3054,2022,1,2,0,1,범죄,한국,1,-7.7,-3.4,0
3055,2022,1,2,0,1,드라마,미국,0,-7.7,-3.4,0
3056,2022,1,2,0,1,범죄,미국,0,-7.7,-3.4,0
3057,2022,1,2,0,1,어드벤처,미국,0,-7.7,-3.4,0
3058,2022,1,2,0,1,공연,한국,1,-7.7,-3.4,0
3059,2022,1,2,0,1,액션,미국,0,-5.3,-2.7,0
3060,2022,1,2,0,1,코미디,기타,0,-5.3,-2.7,0
3061,2022,1,0,0,1,공연,한국,1,4.6,8.4,0
3062,2022,1,2,0,1,드라마,한국,1,1.3,6.8,0
3063,2022,1,2,0,1,어드벤처,한국,1,1.3,6.8,1
3064,2022,1,3,0,1,애니메이션,한국,1,-1.1,4.0,0
3065,2022,2,2,0,0,범죄,미국,0,1.0,7.2,0
3066,2022,2,2,0,0,액션,미국,0,1.0,7.2,0
3067,2022,2,2,0,0,멜로/로맨스,대만,0,1.0,7.2,0
3068,2022,2,3,0,0,다큐멘터리,한국,1,1.4,6.7,0
3069,2022,2,2,0,0,액션,미국,0,-7.3,-4.1,0
3070,2022,2,2,0,0,멜로/로맨스,미국,0,-7.3,-4.1,0
3071,2022,2,3,0,0,애니메이션,,0,-6.2,-0.5,0
3072,2022,2,3,0,0,애니메이션,영국,0,-6.2,-0.5,0
3073,2022,2,2,0,0,멜로/로맨스,한국,1,-5.6,-0.6,0
3074,2022,2,2,0,0,멜로/로맨스,미국,0,-5.6,-0.6,0
3075,2022,2,2,0,0,미스터리,미국,0,-5.6,-0.6,0
3076,2022,2,2,0,0,범죄,미국,0,-5.6,-0.6,0
3077,2022,3,1,0,0,액션,미국,0,5.8,9.7,0
3078,2022,3,2,0,0,드라마,한국,1,7.1,14.8,0
3079,2022,3,2,0,0,애니메이션,일본,0,7.1,14.8,0
3080,2022,3,2,0,0,액션,미국,0,7.1,14.8,0
3081,2022,3,2,0,0,드라마,영국,0,10.3,16.8,0
3082,2022,3,2,0,0,애니메이션,일본,0,10.3,16.8,0
3083,2022,3,2,0,0,액션,미국,0,10.3,16.8,0
3084,2022,3,2,0,0,멜로/로맨스,미국,0,10.3,16.8,0
3085,2022,3,2,0,0,범죄,한국,1,6.2,8.2,0
3086,2022,3,2,0,0,멜로/로맨스,프랑스,0,6.2,8.2,0
3087,2022,3,2,0,0,드라마,미국,0,6.2,8.2,0
3088,2022,3,3,0,0,애니메이션,일본,0,8.2,12.4,0
3089,2022,3,3,0,0,가족,미국,0,8.2,12.4,0
3090,2022,3,2,0,0,범죄,프랑스,0,10.8,15.7,0
3091,2022,3,2,0,0,액션,미국,0,10.8,15.7,0
3092,2022,3,3,0,0,멜로/로맨스,스페인,0,10.9,14.7,0
3093,2022,3,3,0,0,드라마,일본,0,10.9,14.7,0
3094,2022,4,2,0,0,코미디,한국,1,11.7,17.0,0
3095,2022,4,2,0,0,애니메이션,미국,0,11.7,17.0,0
3096,2022,4,2,0,0,액션,미국,0,11.7,17.0,0
3097,2022,4,2,0,0,드라마,미국,0,11.7,17.0,0
3098,2022,4,3,0,0,드라마,한국,1,10.9,15.7,0
3099,2022,4,2,0,0,어드벤처,미국,0,13.1,15.9,1
3100,2022,4,2,0,0,드라마,한국,1,13.1,15.9,0
3101,2022,4,2,0,0,스릴러,한국,1,15.7,22.1,0
3102,2022,4,2,0,0,액션,,0,15.7,22.1,0
3103,2022,4,2,0,0,공연,한국,1,15.7,22.1,0
3104,2022,4,4,0,0,드라마,한국,1,15.0,16.8,0
3105,2022,4,2,0,0,드라마,,0,17.7,23.9,0
3106,2022,4,2,0,0,드라마,한국,1,17.7,23.9,0
3107,2022,4,2,0,0,공포(호러),한국,1,17.7,23.9,0
3108,2022,5,2,0,0,드라마,일본,0,17.8,25.2,0
3109,2022,5,2,0,0,액션,미국,0,17.8,25.2,1
3110,2022,5,2,0,0,애니메이션,독일,0,17.8,25.2,0
3111,2022,5,2,0,0,애니메이션,미국,0,17.8,25.2,0
3112,2022,5,3,0,0,애니메이션,일본,0,18.9,25.8,0
3113,2022,5,2,0,0,드라마,미국,0,19.7,25.2,0
3114,2022,5,2,0,0,가족,한국,1,19.7,25.2,0
3115,2022,5,2,0,0,스릴러,미국,0,19.7,25.2,0
3116,2022,5,2,0,0,범죄,,0,20.0,25.4,1
3117,2022,5,2,0,0,다큐멘터리,한국,1,20.0,25.4,0
3118,2022,5,2,0,0,드라마,한국,1,21.0,26.7,0
3119,2022,5,2,0,0,액션,한국,1,21.0,26.7,0
3120,2022,5,2,0,0,다큐멘터리,한국,1,21.0,26.7,0
3121,2022,5,3,0,0,애니메이션,프랑스,0,18.7,23.5,0
3122,2022,5,3,0,0,드라마,한국,1,18.7,23.5,0
3123,2022,5,3,0,0,액션,한국,1,18.7,23.5,0
3124,2022,6,2,0,0,애니메이션,일본,0,22.1,28.6,0
3125,2022,6,2,0,0,액션,,0,22.1,28.6,1
3126,2022,6,2,0,0,드라마,한국,1,22.1,28.6,0
3127,2022,6,2,0,0,드라마,미국,0,22.1,28.6,0
3128,2022,6,2,0,0,애니메이션,중국,0,22.1,28.6,0
3129,2022,6,2,0,0,드라마,,0,21.2,25.8,1
3130,2022,6,2,0,0,스릴러,일본,0,17.5,20.1,0
3131,2022,6,2,0,0,애니메이션,,0,17.5,20.1,0
3132,2022,6,2,0,0,액션,,0,17.5,20.1,1
3133,2022,6,2,0,0,액션,,0,25.9,31.0,1
3134,2022,6,2,0,0,드라마,,0,25.9,31.0,0
3135,2022,6,3,0,0,애니메이션,,0,24.3,26.4,0
3136,2022,6,2,0,0,미스터리,한국,1,25.1,26.1,1
3137,2022,6,3,0,0,드라마,미국,0,22.3,24.5,0
3138,2022,7,2,1,0,공포(호러),일본,0,29.5,33.3,0
