번호,개봉_연도,개봉_월,개봉_요일,여름_개봉,겨울_개봉,대표장르,대표국가,한국_영화,평균기온,최고기온
3319,2023,10,4,0,0,애니메이션,미국,0,15.5,21.5
3320,2023,10,2,0,0,코미디,한국,1,17.6,24.0
3321,2023,10,2,0,0,드라마,한국,1,17.6,24.0
3322,2023,10,2,0,0,애니메이션,일본,0,15.7,21.6
3323,2023,10,2,0,0,액션,미국,0,15.7,21.6
3324,2023,10,2,0,0,공연,한국,1,15.7,21.6
3325,2023,10,2,0,0,공포(호러),미국,0,15.7,21.6
3326,2023,10,3,0,0,범죄,미국,0,17.0,18.9
3327,2023,10,2,0,0,액션,한국,1,16.6,21.9
3328,2023,10,2,0,0,애니메이션,일본,0,16.6,21.9
3329,2023,11,2,0,0,드라마,한국,1,19.0,20.6
3330,2023,11,2,0,0,공포(호러),호주,0,19.0,20.6
3331,2023,11,4,0,0,공연,미국,0,19.5,22.4
3332,2023,11,2,0,0,스릴러,한국,1,8.4,16.1
3333,2023,11,2,0,0,액션,미국,0,8.4,16.1
3334,2023,11,2,0,0,액션,미국,0,7.0,12.5
3335,2023,11,2,0,0,공포(호러),미국,0,7.0,12.5
3336,2023,11,5,0,0,애니메이션,독일,0,0.6,5.7
3337,2023,11,2,0,0,드라마,,0,9.5,15.1
3338,2023,11,3,0,0,애니메이션,미국,0,9.9,14.6
3339,2023,11,2,0,0,멜로/로맨스,한국,1,-1.4,3.0
3340,2023,11,2,0,0,드라마,,0,-1.4,3.0
3341,2023,11,2,0,0,애니메이션,일본,0,-1.4,3.0
3342,2023,11,3,0,0,애니메이션,한국,1,-4.3,-0.5
3343,2023,12,2,0,1,판타지,,0,6.1,8.7
3344,2023,12,2,0,1,전쟁,미국,0,6.1,8.7
3345,2023,12,2,0,1,공연,한국,1,6.1,8.7
3346,2023,12,2,0,1,애니메이션,,0,6.8,10.3
3347,2023,12,2,0,1,공포(호러),미국,0,6.8,10.3
3348,2023,12,2,0,1,멜로/로맨스,일본,0,6.8,10.3
3349,2023,12,2,0,1,사극,,0,-7.4,-2.1
3350,2023,12,2,0,1,다큐멘터리,,0,-7.4,-2.1
3351,2023,12,2,0,1,애니메이션,,0,-7.4,-2.1
3352,2023,12,2,0,1,액션,,0,-7.4,-2.1
3353,2023,12,4,0,1,애니메이션,,0,-11.6,-8.0
3354,2023,12,2,0,1,애니메이션,한국,1,1.5,6.8
3355,2023,12,2,0,1,애니메이션,,0,1.5,6.8
3356,2023,12,2,0,1,공연,일본,0,1.5,6.8
3357,2024,1,2,0,1,애니메이션,미국,0,1.8,4.0
3358,2024,1,2,0,1,기타,한국,1,-1.0,3.3
3359,2024,1,2,0,1,다큐멘터리,한국,1,-1.0,3.3
3360,2024,1,2,0,1,애니메이션,미국,0,-1.0,3.3
3361,2024,1,2,0,1,코미디,미국,0,0.6,1.9
3362,2024,1,2,0,1,드라마,한국,1,-8.0,-3.7
3363,2024,1,2,0,1,드라마,프랑스,0,-8.0,-3.7
3364,2024,1,2,0,1,드라마,프랑스,0,4.7,10.6
3365,2024,1,2,0,1,판타지,미국,0,4.7,10.6
3366,2024,1,2,0,1,애니메이션,프랑스,0,4.7,10.6
3367,2024,2,3,0,0,다큐멘터리,한국,1,2.4,8.2
3368,2024,2,2,0,0,범죄,한국,1,0.6,2.7
3369,2024,2,2,0,0,드라마,한국,1,0.6,2.7
3370,2024,2,2,0,0,드라마,한국,1,0.6,2.7
3371,2024,2,2,0,0,액션,미국,0,0.6,2.7
3372,2024,2,2,0,0,애니메이션,미국,0,0.6,2.7
3373,2024,2,2,0,0,애니메이션,일본,0,12.9,18.3
3374,2024,2,2,0,0,코미디,미국,0,1.9,4.0
3375,2024,2,2,0,0,범죄,미국,0,1.9,4.0
3376,2024,2,3,0,0,미스터리,한국,1,0.2,1.6
3377,2024,2,2,0,0,액션,미국,0,6.4,10.1
3378,2024,3,4,0,0,애니메이션,한국,1,-4.1,0.3
3379,2024,3,4,0,0,애니메이션,중국,0,-4.1,0.3
3380,2024,3,2,0,0,드라마,미국,0,6.2,10.3
3381,2024,3,2,0,0,드라마,미국,0,6.2,10.3
3382,2024,3,2,0,0,드라마,미국,0,6.5,12.0
3383,2024,3,2,0,0,드라마,미국,0,6.5,12.0
3384,2024,3,2,0,0,액션,미국,0,6.5,12.0
3385,2024,3,2,0,0,애니메이션,일본,0,4.4,8.7
3386,2024,3,2,0,0,공포(호러),미국,0,4.4,8.7
3387,2024,3,3,0,0,범죄,아일랜드,0,5.0,11.5
3388,2024,3,2,0,0,드라마,한국,1,10.4,16.2
3389,2024,3,2,0,0,범죄,한국,1,10.4,16.2
3390,2024,3,2,0,0,드라마,일본,0,10.4,16.2
3391,2024,3,2,0,0,액션,미국,0,10.4,16.2
3392,2024,4,2,0,0,애니메이션,한국,1,16.6,19.7
3393,2024,4,2,0,0,공포(호러),미국,0,16.6,19.7
3394,2024,4,2,0,0,액션,미국,0,16.6,19.7
3395,2024,4,2,0,0,애니메이션,일본,0,16.6,19.7
3396,2024,4,2,0,0,애니메이션,미국,0,13.8,18.5
3397,2024,4,2,0,0,범죄,홍콩,0,13.8,18.5
3398,2024,4,2,0,0,공연,한국,1,13.8,18.5
3399,2024,4,2,0,0,액션,미국,0,15.0,21.8
3400,2024,4,2,0,0,액션,,0,13.2,16.5
3401,2024,4,2,0,0,드라마,미국,0,13.2,16.5
3402,2024,4,3,0,0,애니메이션,스페인,0,14.4,20.8
3403,2024,5,2,0,0,액션,미국,0,18.5,24.0
3404,2024,5,2,0,0,애니메이션,일본,0,18.5,24.0
3405,2024,5,2,0,0,애니메이션,일본,0,18.5,24.0
3406,2024,5,2,0,0,애니메이션,독일,0,18.5,24.0
3407,2024,5,2,0,0,액션,미국,0,14.7,21.4
3408,2024,5,2,0,0,공포(호러),호주,0,14.7,21.4
3409,2024,5,2,0,0,미스터리,,0,12.6,18.8
3410,2024,5,2,0,0,코미디,미국,0,12.6,18.8
3411,2024,5,2,0,0,애니메이션,미국,0,12.6,18.8
3412,2024,5,2,0,0,애니메이션,,0,12.6,18.8
3413,2024,5,2,0,0,액션,,0,20.5,25.5
3414,2024,5,2,0,0,멜로/로맨스,대만,0,20.5,25.5
3415,2024,5,2,0,0,범죄,한국,1,21.2,26.8
3416,2024,5,2,0,0,코미디,미국,0,21.2,26.8
3417,2024,5,2,0,0,공연,일본,0,21.2,26.8
3418,2024,6,2,0,0,드라마,,0,23.6,30.1
3419,2024,6,2,0,0,애니메이션,일본,0,23.6,30.1
3420,2024,6,2,0,0,드라마,,0,23.6,30.1
3421,2024,6,3,0,0,액션,미국,0,24.1,31.4
3422,2024,6,2,0,0,스릴러,한국,1,24.8,31.8
3423,2024,6,2,0,0,애니메이션,,0,24.8,31.8
3424,2024,6,2,0,0,멜로/로맨스,,0,28.8,35.8
3425,2024,6,4,0,0,범죄,,0,28.1,33.9
3426,2024,6,2,0,0,코미디,한국,1,24.9,31.6
3427,2024,6,2,0,0,스릴러,미국,0,24.9,31.6
3428,2024,6,3,0,0,애니메이션,독일,0,26.3,31.6
3429,2024,7,2,1,0,액션,한국,1,24.7,25.9
3430,2024,7,2,1,0,드라마,일본,0,24.7,25.9
3431,2024,7,2,1,0,범죄,중국,0,24.7,25.9
3432,2024,7,2,1,0,범죄,미국,0,26.6,31.1
3433,2024,7,2,1,0,애니메이션,일본,0,26.6,31.1
3434,2024,7,3,1,0,애니메이션,일본,0,25.7,28.9
3435,2024,7,4,1,0,스릴러,한국,1,25.6,30.2
3436,2024,7,4,1,0,멜로/로맨스,미국,0,25.6,30.2
3437,2024,7,2,1,0,애니메이션,일본,0,25.4,28.1
3438,2024,7,3,1,0,공연,한국,1,24.3,25.6
3439,2024,7,2,1,0,애니메이션,미국,0,28.1,30.9
3440,2024,7,2,1,0,액션,미국,0,28.1,30.9
3441,2024,7,2,1,0,코미디,한국,1,29.4,33.3
3442,2024,7,2,1,0,애니메이션,한국,1,29.4,33.3
3443,2024,8,2,1,0,범죄,한국,1,29.6,33.4
3444,2024,8,2,1,0,애니메이션,일본,0,29.6,33.4
3445,2024,8,2,1,0,애니메이션,한국,1,29.6,33.4
3446,2024,8,2,1,0,드라마,한국,1,30.0,34.9
3447,2024,8,2,1,0,드라마,한국,1,30.0,34.9
3448,2024,8,2,1,0,액션,미국,0,30.0,34.9
3449,2024,8,2,1,0,공포(호러),미국,0,30.0,34.9
3450,2024,8,2,1,0,공포(호러),한국,1,28.4,30.8
3451,2024,8,2,1,0,코미디,한국,1,28.4,30.8
3452,2024,8,2,1,0,애니메이션,일본,0,28.4,30.8
3453,2024,8,2,1,0,드라마,한국,1,28.2,33.2
3454,2024,8,2,1,0,공연,한국,1,28.2,33.2
3455,2024,9,2,0,0,코미디,미국,0,27.9,33.3
3456,2024,9,2,0,0,다큐멘터리,한국,1,27.9,33.3
3457,2024,9,3,0,0,애니메이션,일본,0,26.3,28.8
3458,2024,9,4,0,0,액션,한국,1,25.9,28.0
3459,2024,9,4,0,0,애니메이션,미국,0,25.9,28.0
3460,2024,9,5,0,0,애니메이션,한국,1,28.0,32.2
3461,2024,9,2,0,0,공연,한국,1,29.4,33.6
3462,2024,9,2,0,0,애니메이션,일본,0,23.3,27.3
3463,2024,9,2,0,0,애니메이션,미국,0,23.3,27.3
3464,2024,9,4,0,0,전쟁,미국,0,22.7,28.0
3465,2024,10,1,0,0,드라마,한국,1,18.3,21.7
3466,2024,10,1,0,0,애니메이션,일본,0,18.3,21.7
3467,2024,10,1,0,0,애니메이션,미국,0,18.3,21.7
3468,2024,10,1,0,0,범죄,미국,0,18.3,21.7
3469,2024,10,2,0,0,애니메이션,일본,0,14.9,19.9
3470,2024,10,5,0,0,애니메이션,일본,0,18.3,24.7
3471,2024,10,2,0,0,드라마,한국,1,18.2,24.2
3472,2024,10,2,0,0,스릴러,한국,1,18.2,24.2
3473,2024,10,2,0,0,공포(호러),미국,0,18.2,24.2
3474,2024,10,3,0,0,범죄,한국,1,19.0,25.7
3475,2024,10,2,0,0,드라마,한국,1,12.7,15.5
3476,2024,10,2,0,0,액션,미국,0,12.7,15.5
3477,2024,10,2,0,0,코미디,한국,1,15.7,21.4
3478,2024,10,2,0,0,공포(호러),미국,0,15.7,21.4
3479,2024,11,4,0,0,공포(호러),한국,1,15.3,18.7
3480,2024,11,2,0,0,드라마,한국,1,7.5,12.5
3481,2024,11,2,0,0,드라마,미국,0,7.5,12.5
3482,2024,11,2,0,0,액션,미국,0,7.5,12.5
3483,2024,11,2,0,0,드라마,한국,1,7.5,12.5
3484,2024,11,2,0,0,액션,미국,0,14.2,21.3
3485,2024,11,3,0,0,공포(호러),한국,1,14.8,16.8
3486,2024,11,2,0,0,스릴러,한국,1,6.5,9.6
3487,2024,11,2,0,0,애니메이션,일본,0,6.5,9.6
3488,2024,11,2,0,0,판타지,,0,6.5,9.6
3489,2024,11,2,0,0,애니메이션,,0,-0.4,1.2
3490,2024,12,2,0,1,드라마,,0,3.1,6.9
3491,2024,12,2,0,1,드라마,한국,1,3.1,6.9
3492,2024,12,2,0,1,공포(호러),한국,1,3.1,6.9
3493,2024,12,2,0,1,공연,한국,1,3.1,6.9
3494,2024,12,2,0,1,스릴러,,0,3.0,8.2
3495,2024,12,2,0,1,드라마,,0,3.0,8.2
3496,2024,12,3,0,1,다큐멘터리,한국,1,0.5,5.4
3497,2024,12,2,0,1,애니메이션,,0,-3.4,0.9
3498,2024,12,2,0,1,애니메이션,,0,-3.4,0.9
3499,2024,12,1,0,1,드라마,,0,-0.4,5.1
3500,2024,12,2,0,1,애니메이션,독일,0,2.7,6.5
3501,2024,12,2,0,1,드라마,영국,0,2.7,6.5
3502,2024,12,1,0,1,범죄,한국,1,0.6,4.9
3503,2024,12,1,0,1,액션,미국,0,0.6,4.9
3504,2025,1,2,0,1,애니메이션,미국,0,2.6,8.9
3505,2025,1,2,0,1,애니메이션,한국,1,2.6,8.9
3506,2025,1,2,0,1,코미디,한국,1,-3.4,0.2
3507,2025,1,2,0,1,애니메이션,일본,0,3.6,7.7
3508,2025,1,2,0,1,코미디,한국,1,3.6,7.7
3509,2025,1,4,0,1,코미디,한국,1,3.1,10.6
3510,2025,1,4,0,1,공연,한국,1,3.1,10.6
3511,2025,1,4,0,1,미스터리,한국,1,3.1,10.6
3512,2025,1,0,0,1,판타지,한국,1,0.2,5.1
3513,2025,1,0,0,1,애니메이션,영국,0,0.2,5.1
3514,2025,2,2,0,0,범죄,한국,1,-8.6,-3.7
3515,2025,2,2,0,0,액션,미국,0,0.5,2.5
3516,2025,2,2,0,0,드라마,미국,0,0.5,2.5
3517,2025,2,4,0,0,애니메이션,일본,0,3.7,10.1
3518,2025,2,4,0,0,애니메이션,독일,0,3.7,10.1
3519,2025,2,2,0,0,판타지,일본,0,-3.0,1.2
3520,2025,2,2,0,0,코미디,미국,0,-3.0,1.2
3521,2025,2,4,0,0,애니메이션,한국,1,-2.5,2.6
3522,2025,2,4,0,0,멜로/로맨스,한국,1,-2.5,2.6
3523,2025,2,2,0,0,가족,한국,1,3.7,9.1
3524,2025,2,2,0,0,미스터리,한국,1,3.7,9.1
3525,2025,2,2,0,0,드라마,미국,0,3.7,9.1
3526,2025,2,2,0,0,공연,한국,1,3.7,9.1
3527,2025,2,3,0,0,다큐멘터리,한국,1,5.8,14.2
3528,2025,2,4,0,0,어드벤처,미국,0,7.8,13.7
3529,2025,3,2,0,0,드라마,미국,0,4.8,9.2
3530,2025,3,2,0,0,미스터리,한국,1,8.5,11.8
3531,2025,3,2,0,0,뮤지컬,프랑스,0,8.5,11.8
3532,2025,3,2,0,0,액션,미국,0,8.5,11.8
3533,2025,3,2,0,0,애니메이션,호주,0,8.5,11.8
3534,2025,3,3,0,0,애니메이션,일본,0,8.9,15.0
3535,2025,3,2,0,0,애니메이션,기타,0,2.4,7.3
3536,2025,3,2,0,0,판타지,미국,0,2.4,7.3
3537,2025,3,2,0,0,드라마,일본,0,2.4,7.3
3538,2025,3,2,0,0,공포(호러),베트남,0,2.4,7.3
3539,2025,3,4,0,0,스릴러,한국,1,11.6,18.7
3540,2025,3,2,0,0,드라마,한국,1,15.5,23.9
3541,2025,3,2,0,0,스릴러,일본,0,15.5,23.9
3542,2025,4,2,0,0,드라마,한국,1,8.9,14.4
3543,2025,4,2,0,0,스릴러,미국,0,8.9,14.4
3544,2025,4,2,0,0,공연,한국,1,8.9,14.4
3545,2025,4,4,0,0,애니메이션,한국,1,10.6,16.4
3546,2025,4,2,0,0,액션,미국,0,12.7,18.0
3547,2025,4,2,0,0,뮤지컬,영국,0,12.7,18.0
3548,2025,4,3,0,0,애니메이션,미국,0,13.2,19.1
3549,2025,4,2,0,0,범죄,한국,1,14.6,21.9
3550,2025,4,2,0,0,코미디,영국,0,14.6,21.9
3551,2025,4,2,0,0,드라마,영국,0,14.6,21.9
3552,2025,4,2,0,0,다큐멘터리,한국,1,16.8,22.9
3553,2025,4,5,0,0,어드벤처,미국,0,13.8,20.0
3554,2025,4,5,0,0,애니메이션,미국,0,13.8,20.0
3555,2025,4,2,0,0,액션,한국,1,18.4,25.8
3556,2025,4,2,0,0,액션,한국,1,18.4,25.8
3557,2025,4,2,0,0,액션,미국,0,18.4,25.8
3558,2025,4,2,0,0,드라마,일본,0,18.4,25.8
3559,2025,5,3,0,0,애니메이션,한국,1,14.7,17.6
3560,2025,5,2,0,0,드라마,한국,1,14.9,21.1
3561,2025,5,2,0,0,애니메이션,일본,0,14.9,21.1
3562,2025,5,2,0,0,공포(호러),미국,0,21.0,26.7
3563,2025,5,5,0,0,액션,,0,18.3,24.3
3564,2025,5,2,0,0,애니메이션,미국,0,25.5,30.8
3565,2025,5,2,0,0,다큐멘터리,한국,1,25.5,30.8
3566,2025,5,3,0,0,멜로/로맨스,일본,0,23.9,28.5
3567,2025,5,2,0,0,액션,미국,0,20.8,26.9
3568,2025,5,2,0,0,드라마,미국,0,20.8,26.9
3569,2025,5,3,0,0,애니메이션,일본,0,21.2,27.3
3570,2025,5,4,0,0,코미디,,0,22.2,28.3
3571,2025,5,4,0,0,드라마,한국,1,22.2,28.3
3572,2025,6,0,0,0,드라마,,0,21.0,23.1
3573,2025,6,4,0,0,액션,,0,24.1,30.0
3574,2025,6,4,0,0,공포(호러),미국,0,24.1,30.0
3575,2025,6,2,0,0,드라마,한국,1,22.7,28.5
3576,2025,6,2,0,0,애니메이션,,0,25.5,30.9
3577,2025,6,3,0,0,공포(호러),,0,28.1,34.2
3578,2025,6,4,0,0,드라마,,0,24.1,28.3
3579,2025,6,2,0,0,공포(호러),한국,1,20.9,22.1
3580,2025,6,2,0,0,다큐멘터리,한국,1,20.9,22.1
3581,2025,6,2,0,0,드라마,,0,20.9,22.1
3582,2025,7,2,1,0,어드벤처,미국,0,28.6,30.9
3583,2025,7,2,1,0,공포(호러),한국,1,31.9,36.0
3584,2025,7,2,1,0,액션,미국,0,31.9,36.0
3585,2025,7,2,1,0,공포(호러),미국,0,23.3,24.8
3586,2025,7,2,1,0,애니메이션,한국,1,23.3,24.8
3587,2025,7,2,1,0,애니메이션,일본,0,23.3,24.8
3588,2025,7,2,1,0,애니메이션,일본,0,23.3,24.8
3589,2025,7,2,1,0,판타지,한국,1,28.9,33.3
3590,2025,7,3,1,0,액션,미국,0,29.8,34.1
3591,2025,7,3,1,0,애니메이션,한국,1,29.8,34.1
3592,2025,7,2,1,0,코미디,한국,1,32.1,36.3
3593,2025,7,2,1,0,애니메이션,미국,0,32.1,36.3
3594,2025,8,2,1,0,공포(호러),한국,1,27.1,29.3
3595,2025,8,2,1,0,액션,미국,0,27.1,29.3
3596,2025,8,2,1,0,애니메이션,미국,0,27.1,29.3
3597,2025,8,2,1,0,미스터리,한국,1,25.1,27.1
3598,2025,8,2,1,0,드라마,한국,1,25.1,27.1
3599,2025,8,2,1,0,미스터리,일본,0,25.1,27.1
3600,2025,8,2,1,0,공포(호러),노르웨이,0,29.4,32.8
3601,2025,8,4,1,0,애니메이션,일본,0,29.4,33.5
3602,2025,8,2,1,0,코미디,미국,0,26.7,30.8
3603,2025,8,2,1,0,액션,미국,0,26.7,30.8
3604,2025,8,2,1,0,멜로/로맨스,중국,0,26.7,30.8
3605,2025,8,3,1,0,기타,한국,1,28.3,31.0
3606,2025,9,2,0,0,공포(호러),미국,0,27.6,32.1
3607,2025,9,2,0,0,공포(호러),미국,0,27.6,32.1
3608,2025,9,3,0,0,애니메이션,중국,0,25.8,29.8
3609,2025,9,4,0,0,드라마,한국,1,27.9,33.0
3610,2025,9,2,0,0,공포(호러),한국,1,24.8,31.5
3611,2025,9,2,0,0,다큐멘터리,한국,1,24.8,31.5
3612,2025,9,3,0,0,미스터리,한국,1,25.8,31.7
3613,2025,9,2,0,0,공포(호러),한국,1,22.7,24.0
3614,2025,9,3,0,0,공연,한국,1,22.1,26.0
3615,2025,9,4,0,0,애니메이션,일본,0,19.4,21.4
3616,2025,9,2,0,0,스릴러,한국,1,22.0,23.7
3617,2025,9,2,0,0,애니메이션,,0,22.0,23.7
3618,2025,9,5,0,0,애니메이션,한국,1,22.5,27.2
3619,2025,10,2,0,0,애니메이션,한국,1,20.5,25.6
3620,2025,10,2,0,0,범죄,미국,0,20.5,25.6
3621,2025,10,4,0,0,코미디,한국,1,21.2,22.3
3622,2025,10,4,0,0,어드벤처,미국,0,21.2,22.3
3623,2025,10,2,0,0,SF,미국,0,21.9,28.0
3624,2025,10,2,0,0,공포(호러),미국,0,20.2,25.3
3625,2025,10,2,0,0,액션,한국,1,20.2,25.3
3626,2025,10,3,0,0,애니메이션,일본,0,20.2,24.8
3627,2025,10,2,0,0,드라마,한국,1,13.1,18.6
3628,2025,10,2,0,0,스릴러,일본,0,13.1,18.6
3629,2025,10,2,0,0,코미디,한국,1,11.4,18.3
3630,2025,10,4,0,0,애니메이션,캐나다,0,15.1,20.7
3631,2025,11,2,0,0,미스터리,한국,1,11.6,19.0
3632,2025,11,2,0,0,SF,미국,0,11.6,19.0
3633,2025,11,2,0,0,스릴러,미국,0,11.6,19.0
3634,2025,11,2,0,0,범죄,미국,0,10.8,17.7
3635,2025,11,3,0,0,애니메이션,독일,0,11.1,17.6
3636,2025,11,2,0,0,코미디,한국,1,3.0,8.6
3637,2025,11,2,0,0,판타지,,0,3.0,8.6
3638,2025,11,2,0,0,드라마,일본,0,3.0,8.6
3639,2025,11,2,0,0,드라마,한국,1,6.4,10.9
3640,2025,11,2,0,0,애니메이션,,0,6.4,10.9
3641,2025,12,2,0,1,코미디,한국,1,-5.9,-2.8
3642,2025,12,2,0,1,드라마,,0,-5.9,-2.8
3643,2025,12,2,0,1,공포(호러),미국,0,-5.9,-2.8
3644,2025,12,2,0,1,애니메이션,일본,0,-5.9,-2.8
3645,2025,12,2,0,1,드라마,한국,1,-5.9,-2.8
3646,2025,12,2,0,1,드라마,일본,0,4.9,8.6
3647,2025,12,2,0,1,액션,영국,0,4.9,8.6
3648,2025,12,3,0,1,애니메이션,,0,4.0,8.4
