영화명,번호,개봉_연도,개봉_월,개봉_요일,여름_개봉,겨울_개봉,대표장르,대표국가,한국_영화,평균기온,최고기온,첫주_관객수,top10_주수,최고_순위,백만_돌파
모나리자 스마일,30,2004,3,4,0,0,드라마,미국,0,4.2,9.6,20787,2,5,0
히달고,31,2004,3,4,0,0,액션,미국,0,4.2,9.6,17268,2,7,0
맹부삼천지교,32,2004,3,4,0,0,코미디,한국,1,10.6,16.2,64424,4,2,0
아홉살 인생,33,2004,3,4,0,0,드라마,한국,1,10.6,16.2,31999,3,5,0
허니 ,34,2004,3,4,0,0,드라마,미국,0,10.6,16.2,15229,1,7,0
마지막 늑대,35,2004,4,3,0,0,코미디,한국,1,9.1,16.7,24045,2,6,0
어린 신부,36,2004,4,4,0,0,코미디,한국,1,5.6,7.5,112480,9,1,0
폴리와 함께,37,2004,4,4,0,0,멜로/로맨스,미국,0,5.6,7.5,13793,2,7,0
패션 오브 크라이스트,38,2004,4,4,0,0,드라마,미국,0,5.6,7.5,124330,7,1,0
고티카,39,2004,4,4,0,0,공포(호러),미국,0,5.6,7.5,11047,2,9,0
저지 걸,40,2004,4,4,0,0,멜로/로맨스,미국,0,13.0,19.7,21983,3,6,0
바람의 전설,41,2004,4,4,0,0,드라마,한국,1,13.0,19.7,24938,3,5,0
범죄의 재구성,42,2004,4,3,0,0,스릴러,한국,1,15.5,21.7,222524,7,1,0
테이킹 라이브즈,43,2004,4,3,0,0,스릴러,미국,0,15.5,21.7,17057,2,10,0
첫키스만 50번째,44,2004,4,3,0,0,코미디,미국,0,15.5,21.7,60402,5,4,0
더티 댄싱 - 하바나 나이트,45,2004,4,4,0,0,멜로/로맨스,미국,0,12.8,16.8,9942,1,10,0
라이어,46,2004,4,4,0,0,코미디,한국,1,12.8,16.8,55433,2,5,0
아라한 장풍대작전,47,2004,4,4,0,0,액션,한국,1,17.3,22.6,171072,7,2,0
인 더 컷,48,2004,4,4,0,0,스릴러,미국,0,17.3,22.6,15996,1,8,0
스쿠비-두2 : 몬스터 대소동,49,2004,4,4,0,0,코미디,미국,0,17.3,22.6,11388,1,9,0
스타스키와 허치,50,2004,4,4,0,0,액션,미국,0,17.3,22.6,10954,1,9,0
천공의 성 라퓨타,51,2004,4,4,0,0,애니메이션,일본,0,17.3,22.6,9327,3,8,0
효자동 이발사,52,2004,5,2,0,0,드라마,한국,1,15.5,21.8,303160,5,1,0
여자는 남자의 미래다,53,2004,5,2,0,0,드라마,한국,1,15.5,21.8,58093,3,5,0
새벽의 저주,54,2004,5,4,0,0,공포(호러),미국,0,18.7,26.0,44236,3,6,0
킬 빌2,55,2004,5,4,0,0,액션,미국,0,18.7,26.0,63610,4,4,0
하류인생,56,2004,5,4,0,0,액션,한국,1,16.7,21.8,92208,3,2,0
트로이,57,2004,5,4,0,0,사극,미국,0,16.7,21.8,369619,7,1,1
디 아이2,58,2004,5,2,0,0,공포(호러),홍콩,0,19.9,24.3,82282,3,3,0
옹박 - 무에타이의 후예,59,2004,5,2,0,0,액션,태국,0,19.9,24.3,4780,4,4,0
투모로우,60,2004,6,3,0,0,SF,미국,0,26.0,32.5,428275,7,1,1
내 여자친구를 소개합니다,61,2004,6,3,0,0,멜로/로맨스,한국,1,26.0,32.5,539430,5,1,1
레이디킬러,62,2004,6,4,0,0,코미디,미국,0,26.3,32.4,11859,2,9,0
페이스,63,2004,6,4,0,0,공포(호러),한국,1,25.3,30.1,128443,3,4,0
데스티네이션 2,64,2004,6,4,0,0,공포(호러),미국,0,25.3,30.1,50501,2,5,0
령,65,2004,6,3,0,0,공포(호러),한국,1,19.2,24.5,188805,4,3,0
슈렉2,66,2004,6,4,0,0,애니메이션,미국,0,20.5,23.8,453595,6,1,1
블러디 선데이,67,2004,6,4,0,0,드라마,영국,0,20.5,23.8,18391,2,11,0
내 남자 친구는 왕자님,68,2004,6,4,0,0,멜로/로맨스,미국,0,20.5,23.8,25843,2,9,0
몬스터,69,2004,6,4,0,0,드라마,독일,0,20.5,23.8,20420,2,9,0
나두야 간다,70,2004,6,4,0,0,코미디,한국,1,25.2,29.6,11000,4,8,0
아는 여자,71,2004,6,4,0,0,드라마,한국,1,25.2,29.6,130791,4,4,0
스파이더맨 2,72,2004,6,2,0,0,SF,미국,0,24.7,29.1,643527,4,1,1
인어 공주,73,2004,6,2,0,0,드라마,한국,1,24.7,29.1,197834,3,3,0
무간도3: 종극무간,74,2004,7,4,1,0,드라마,홍콩,0,23.1,24.2,19092,2,9,0
투 가이즈,75,2004,7,4,1,0,코미디,한국,1,22.7,27.3,214637,3,4,0
"달마야, 서울 가자",76,2004,7,4,1,0,코미디,한국,1,22.7,27.3,313650,3,2,0
착신아리,77,2004,7,4,1,0,공포(호러),일본,0,22.7,27.3,95339,2,7,0
내 남자의 로맨스,78,2004,7,4,1,0,드라마,한국,1,23.0,24.6,265234,3,3,0
해리포터와 아즈카반의 죄수,79,2004,7,4,1,0,드라마,미국,0,23.0,24.6,704652,8,1,1
그놈은 멋있었다,80,2004,7,3,1,0,코미디,한국,1,27.4,32.0,161461,2,5,0
늑대의 유혹,81,2004,7,3,1,0,드라마,한국,1,27.4,32.0,409593,4,1,1
화씨 911,82,2004,7,3,1,0,다큐멘터리,미국,0,27.4,32.0,74826,2,8,0
킹 아더,83,2004,7,4,1,0,사극,미국,0,28.3,33.2,281597,3,3,0
반 헬싱,84,2004,7,4,1,0,액션,미국,0,29.2,33.4,278396,3,2,0
"아이, 로봇",85,2004,7,4,1,0,SF,미국,0,29.2,33.4,326066,5,1,1
인형사,86,2004,7,4,1,0,공포(호러),한국,1,29.2,33.4,94390,2,9,0
누구나 비밀은 있다,87,2004,7,4,1,0,코미디,한국,1,29.2,33.4,214549,3,6,0
분신사바,88,2004,8,3,1,0,공포(호러),한국,1,27.6,32.7,279004,2,4,0
신부수업,89,2004,8,3,1,0,드라마,한국,1,27.6,32.7,314480,3,3,0
얼굴 없는 미녀,90,2004,8,4,1,0,스릴러,한국,1,28.3,32.9,152353,2,8,0
바람의 파이터,91,2004,8,3,1,0,액션,한국,1,29.6,34.7,428675,5,1,1
시실리 2km,92,2004,8,4,1,0,코미디,한국,1,28.7,32.7,284516,6,2,1
리딕 - 헬리온 최후의 빛,93,2004,8,4,1,0,SF,미국,0,28.7,32.7,162421,2,6,0
가필드,94,2004,8,3,1,0,코미디,미국,0,21.8,25.3,113045,2,5,0
알포인트,95,2004,8,4,1,0,전쟁,한국,1,23.5,26.8,289646,5,1,1
본 슈프리머시,96,2004,8,4,1,0,액션,미국,0,23.5,26.8,159687,3,4,0
헬보이,97,2004,8,4,1,0,SF,미국,0,23.5,26.8,71528,2,8,0
쓰리 몬스터,98,2004,8,4,1,0,공포(호러),한국,1,23.5,26.8,95110,2,7,0
프레디 대 제이슨-13일의 금요일11,99,2004,8,4,1,0,공포(호러),미국,0,24.6,28.3,34652,1,9,0
터미널,100,2004,8,4,1,0,드라마,미국,0,24.6,28.3,315564,4,1,0
가족,101,2004,9,4,0,0,드라마,한국,1,23.7,28.0,168016,7,2,1
퀸카로 살아남는 법,102,2004,9,4,0,0,코미디,미국,0,23.7,28.0,47517,2,8,0
거미숲,103,2004,9,4,0,0,미스터리,한국,1,23.7,28.0,42020,2,10,0
에이리언 VS 프레데터,104,2004,9,4,0,0,SF,미국,0,23.7,28.0,98697,3,7,0
돈 텔 파파,105,2004,9,4,0,0,코미디,한국,1,23.7,28.0,142682,4,4,0
연인,106,2004,9,4,0,0,멜로/로맨스,중국,0,22.1,26.7,430281,4,1,1
슈퍼스타 감사용,107,2004,9,4,0,0,드라마,한국,1,23.6,28.7,136190,4,3,0
80일간의 세계 일주,108,2004,9,4,0,0,코미디,미국,0,23.6,28.7,139498,4,4,0
귀신이 산다,109,2004,9,4,0,0,코미디,한국,1,23.6,28.7,433801,6,1,1
꽃피는 봄이 오면,110,2004,9,3,0,0,드라마,한국,1,20.5,25.2,136488,4,3,0
빌리지,111,2004,9,4,0,0,공포(호러),미국,0,21.2,26.7,105321,3,5,0
캣우먼,112,2004,9,4,0,0,액션,미국,0,21.2,26.7,64847,2,8,0
맨 온 파이어,113,2004,9,4,0,0,액션,미국,0,21.2,26.7,58065,4,7,0
스텝포드 와이프,114,2004,10,4,0,0,코미디,미국,0,16.6,21.5,55364,3,5,0
우리 형,115,2004,10,4,0,0,드라마,한국,1,19.5,25.6,487280,6,1,1
세상의 중심에서 사랑을 외치다,116,2004,10,4,0,0,멜로/로맨스,일본,0,19.5,25.6,109704,4,3,0
콜래트럴,117,2004,10,4,0,0,액션,미국,0,13.9,19.8,210152,4,2,0
빈집,118,2004,10,4,0,0,드라마,한국,1,13.9,19.8,36933,2,6,0
2046,119,2004,10,4,0,0,드라마,홍콩,0,13.9,19.8,57143,2,5,0
S 다이어리,120,2004,10,4,0,0,코미디,한국,1,12.5,17.0,426646,4,1,1
썸,121,2004,10,4,0,0,스릴러,한국,1,12.5,17.0,97951,3,4,0
비포 선셋,122,2004,10,4,0,0,드라마,미국,0,12.5,17.0,45695,2,7,0
21 그램,123,2004,10,5,0,0,드라마,미국,0,12.1,17.7,31181,2,8,0
주홍글씨,124,2004,10,4,0,0,스릴러,한국,1,13.0,17.8,427637,4,1,1
프린세스 다이어리 2,125,2004,10,4,0,0,멜로/로맨스,미국,0,13.0,17.8,60855,2,7,0
이프 온리,126,2004,10,4,0,0,멜로/로맨스,미국,0,13.0,17.8,87412,10,3,1
내 머리 속의 지우개,127,2004,11,4,0,0,멜로/로맨스,한국,1,11.4,15.8,463193,6,1,1
완벽한 그녀에게 딱 한가지 없는 것,128,2004,11,4,0,0,코미디,미국,0,11.4,15.8,24945,2,10,0
레지던트 이블 2-아포칼립스,129,2004,11,4,0,0,액션,미국,0,11.4,15.8,124026,3,4,0
쉘 위 댄스,130,2004,11,4,0,0,드라마,미국,0,5.1,9.6,45507,2,6,0
나비효과,131,2004,11,4,0,0,드라마,미국,0,5.1,9.6,210019,5,1,0
모터사이클 다이어리,132,2004,11,4,0,0,드라마,영국,0,5.1,9.6,26998,1,8,0
사랑에 빠지는 아주 특별한 법칙,133,2004,11,4,0,0,멜로/로맨스,아일랜드,0,5.1,9.6,45231,1,7,0
여선생 VS 여제자,134,2004,11,2,0,0,코미디,한국,1,9.9,15.1,300073,5,2,0
하나와 앨리스,135,2004,11,2,0,0,드라마,일본,0,9.9,15.1,54300,2,6,0
화이트 칙스,136,2004,11,2,0,0,코미디,미국,0,9.9,15.1,36521,1,9,0
택시: 더 멕시멈,137,2004,11,2,0,0,액션,미국,0,9.9,15.1,47271,2,6,0
엑소시스트: 더 비기닝,138,2004,11,2,0,0,공포(호러),미국,0,9.9,15.1,39399,2,8,0
귀여워,139,2004,11,4,0,0,드라마,한국,1,5.3,11.8,33391,1,8,0
노트북,140,2004,11,4,0,0,멜로/로맨스,미국,0,5.3,11.8,107093,14,2,0
"DMZ, 비무장지대",141,2004,11,4,0,0,드라마,한국,1,5.3,11.8,44286,2,7,0
발레 교습소,142,2004,12,4,0,1,드라마,한국,1,10.6,16.2,52051,2,9,0
포가튼,143,2004,12,4,0,1,스릴러,미국,0,10.6,16.2,96496,3,6,0
까불지마,144,2004,12,4,0,1,드라마,한국,1,10.6,16.2,68990,2,7,0
오페라의 유령,145,2004,12,2,0,1,뮤지컬,미국,0,5.8,9.8,441612,5,1,1
브리짓 존스의 일기2 : 열정과 애정,146,2004,12,2,0,1,멜로/로맨스,영국,0,5.8,9.8,309036,5,2,1
역도산,147,2004,12,2,0,1,드라마,한국,1,5.7,7.5,481034,3,1,0
블레이드 3,148,2004,12,2,0,1,액션,미국,0,5.7,7.5,290017,3,4,0
엘프,149,2004,12,2,0,1,코미디,미국,0,5.7,7.5,32348,2,7,0
인크레더블,150,2004,12,2,0,1,애니메이션,미국,0,5.7,7.5,244038,5,5,0
폴라 익스프레스,151,2004,12,3,0,1,애니메이션,미국,0,-3.7,1.0,131070,3,7,0
하울의 움직이는 성,152,2004,12,3,0,1,애니메이션,일본,0,-3.7,1.0,569521,11,1,1
여고생 시집가기,153,2004,12,3,0,1,코미디,한국,1,-3.7,1.0,40924,1,8,0
서바이빙 크리스마스,154,2004,12,4,0,1,코미디,미국,0,-0.8,3.4,23102,1,9,0
신석기 블루스,155,2004,12,3,0,1,코미디,한국,1,-4.6,-0.8,142189,2,6,0
알렉산더,156,2004,12,4,0,1,전쟁,미국,0,-4.7,-1.2,598669,3,1,1
내셔널 트레져,157,2004,12,4,0,1,액션,미국,0,-4.7,-1.2,381798,4,3,1
샤크,158,2005,1,4,0,1,애니메이션,미국,0,-2.9,2.2,339342,4,2,0
오션스 트웰브,159,2005,1,4,0,1,범죄,호주,0,-2.9,2.2,332414,3,4,0
월드 오브 투모로우,160,2005,1,4,0,1,SF,미국,0,-3.1,0.6,179599,2,7,0
몽정기2,161,2005,1,4,0,1,코미디,한국,1,-3.1,0.6,417232,3,1,0
키다리 아저씨,162,2005,1,4,0,1,드라마,한국,1,-3.1,0.6,185570,3,4,0
쿵푸 허슬,163,2005,1,4,0,1,코미디,중국,0,-3.1,0.6,307190,4,1,0
뉴 폴리스 스토리,164,2005,1,4,0,1,액션,홍콩,0,-5.4,-0.6,170050,3,5,0
엘렉트라,165,2005,1,4,0,1,액션,미국,0,-5.4,-0.6,102811,2,8,0
마더 데레사,166,2005,1,4,0,1,드라마,이탈리아,0,-5.4,-0.6,6853,1,10,0
말아톤,167,2005,1,3,0,1,드라마,한국,1,1.3,5.6,590518,9,1,1
공공의 적 2,168,2005,1,3,0,1,드라마,한국,1,1.3,5.6,825700,7,1,1
레모니 스니켓의 위험한 대결,169,2005,1,4,0,1,코미디,미국,0,2.1,7.3,318057,3,3,0
클로저,170,2005,2,3,0,0,멜로/로맨스,미국,0,-4.6,0.0,73904,3,6,0
그때 그 사람들,171,2005,2,3,0,0,미스터리,한국,1,-4.6,0.0,266455,3,4,0
B형 남자친구,172,2005,2,3,0,0,코미디,한국,1,-4.6,0.0,388139,3,3,1
피닉스,173,2005,2,4,0,0,액션,미국,0,-1.5,2.4,23637,2,8,0
콘스탄틴,174,2005,2,1,0,0,드라마,미국,0,1.7,5.8,830455,5,2,1
에비에이터,175,2005,2,4,0,0,드라마,독일,0,4.0,6.0,206930,3,5,0
레드 아이,176,2005,2,4,0,0,공포(호러),한국,1,4.0,6.0,101943,2,9,0
"제니, 주노",177,2005,2,4,0,0,드라마,한국,1,4.0,6.0,115019,2,7,0
파송송 계란탁,178,2005,2,4,0,0,코미디,한국,1,4.0,6.0,320107,4,2,0
나인 야드 2,179,2005,2,3,0,0,코미디,미국,0,-2.9,3.2,49455,2,10,0
네버랜드를 찾아서,180,2005,2,4,0,0,드라마,미국,0,-4.8,-1.5,76478,2,7,0
레이,181,2005,2,4,0,0,드라마,미국,0,-4.8,-1.5,101168,3,8,0
숨바꼭질,182,2005,2,4,0,0,드라마,미국,0,-4.8,-1.5,228222,4,2,0
코러스,183,2005,3,3,0,0,드라마,프랑스,0,-1.3,2.0,62047,1,9,0
"여자, 정혜",184,2005,3,3,0,0,드라마,한국,1,8.4,13.1,15749,1,9,0
마파도,185,2005,3,3,0,0,코미디,한국,1,8.4,13.1,407651,8,1,1
쏘우,186,2005,3,3,0,0,스릴러,미국,0,8.4,13.1,107536,3,6,0
밀리언 달러 베이비,187,2005,3,3,0,0,드라마,미국,0,8.4,13.1,234008,5,2,0
Mr.히치: 당신을 위한 데이트 코치,188,2005,3,4,0,0,멜로/로맨스,미국,0,0.7,5.0,192817,4,3,0
잠복근무,189,2005,3,3,0,0,코미디,한국,1,5.9,9.8,449908,6,2,1
호스티지,190,2005,3,4,0,0,스릴러,미국,0,3.9,8.3,130465,3,3,0
윔블던,191,2005,3,4,0,0,드라마,영국,0,3.1,7.0,55831,1,8,0
래더 49,192,2005,3,4,0,0,드라마,미국,0,3.1,7.0,27764,1,10,0
"지금, 만나러 갑니다",193,2005,3,4,0,0,드라마,일본,0,3.1,7.0,79914,2,6,0
달콤한 인생,194,2005,4,4,0,0,액션,한국,1,11.2,16.1,324186,5,2,1
미스 에이전트2 : 라스베가스 잠입사건,195,2005,4,4,0,0,액션,미국,0,11.2,16.1,64687,2,5,0
주먹이 운다(Crying Fist),196,2005,4,4,0,0,드라마,한국,1,11.2,16.1,357094,6,1,1
블랙아웃,197,2005,4,3,0,0,스릴러,독일,0,12.9,16.1,64411,2,7,0
엄마,198,2005,4,3,0,0,드라마,한국,1,12.9,16.1,79215,3,5,0
화이트 노이즈,199,2005,4,4,0,0,공포(호러),미국,0,14.9,22.5,27811,1,10,0
아나콘다2 : 사라지지 않는 저주,200,2005,4,4,0,0,공포(호러),미국,0,9.6,15.3,34556,2,9,0
역전의 명수,201,2005,4,4,0,0,코미디,한국,1,9.6,15.3,184708,4,1,0
미트 페어런츠2,202,2005,4,4,0,0,코미디,미국,0,9.6,15.3,99482,3,5,0
어바웃 러브,203,2005,4,3,0,0,드라마,영국,0,10.2,13.3,145756,4,3,0
인터프리터,204,2005,4,4,0,0,드라마,영국,0,11.6,16.8,113615,4,4,0
댄서의 순정,205,2005,4,3,0,0,드라마,한국,1,17.5,22.8,470958,6,1,1
트리플 X2 : 넥스트 레벨,206,2005,4,4,0,0,범죄,미국,0,19.2,25.3,189853,4,2,0
착신아리2,207,2005,4,4,0,0,공포(호러),일본,0,19.2,25.3,95066,4,5,0
밀리언즈,208,2005,5,2,0,0,코미디,영국,0,20.1,27.7,112518,2,5,0
혈의 누,209,2005,5,2,0,0,스릴러,한국,1,20.1,27.7,700519,5,1,1
킹덤 오브 헤븐,210,2005,5,2,0,0,액션,미국,0,20.1,27.7,545436,4,3,1
코치 카터,211,2005,5,4,0,0,드라마,미국,0,16.6,23.3,36693,2,7,0
킨제이 보고서,212,2005,5,4,0,0,드라마,미국,0,16.6,23.3,27959,1,8,0
남극일기,213,2005,5,3,0,0,스릴러,한국,1,17.2,23.0,465538,4,1,0
연애술사,214,2005,5,4,0,0,멜로/로맨스,한국,1,18.5,24.5,237140,5,2,1
"우리, 사랑일까요?",215,2005,5,4,0,0,드라마,미국,0,18.5,24.5,63705,2,7,0
하우스 오브 왁스,216,2005,5,4,0,0,공포(호러),미국,0,18.5,24.5,103401,2,6,0
스타워즈 에피소드3 - 시스의복수,217,2005,5,3,0,0,SF,미국,0,19.3,25.0,535419,5,1,1
그루지,218,2005,5,3,0,0,공포(호러),일본,0,19.3,25.0,215361,5,4,0
"안녕, 형아",219,2005,5,4,0,0,드라마,한국,1,20.7,27.7,254935,5,2,0
pm 11:14,220,2005,6,3,0,0,드라마,미국,0,19.1,22.2,108619,3,5,0
링2(2005),221,2005,6,4,0,0,공포(호러),미국,0,18.0,22.6,96531,2,6,0
패시파이어,222,2005,6,4,0,0,액션,미국,0,18.0,22.6,30642,2,9,0
간 큰 가족,223,2005,6,3,0,0,코미디,한국,1,23.6,28.0,422269,5,2,1
연애의 목적,224,2005,6,4,0,0,드라마,한국,1,19.1,23.1,478931,5,1,1
텍사스 전기톱 연쇄살인사건,225,2005,6,3,0,0,공포(호러),미국,0,21.2,25.2,81099,3,5,0
미스터 & 미세스 스미스,226,2005,6,3,0,0,멜로/로맨스,미국,0,21.2,25.2,736175,7,1,1
배트맨 비긴즈,227,2005,6,4,0,0,범죄,미국,0,25.9,32.0,319565,7,2,0
사하라,228,2005,6,4,0,0,액션,미국,0,25.9,32.0,186712,3,4,0
씬 시티,229,2005,6,3,0,0,범죄,미국,0,25.7,31.1,166080,3,5,0
셔터,230,2005,6,3,0,0,공포(호러),태국,0,25.7,31.1,103634,4,5,0
분홍신,231,2005,6,3,0,0,공포(호러),한국,1,25.7,31.1,355782,4,2,1
아미티빌 호러,232,2005,7,4,1,0,공포(호러),미국,0,23.8,26.5,47470,1,9,0
어썰트 13,233,2005,7,3,1,0,공포(호러),미국,0,24.1,28.5,54046,2,8,0
우주전쟁,234,2005,7,3,1,0,드라마,미국,0,24.1,28.5,1227855,5,1,1
마다가스카,235,2005,7,3,1,0,애니메이션,미국,0,25.0,29.6,468927,5,2,1
천군,236,2005,7,4,1,0,액션,한국,1,25.8,30.1,332070,4,3,0
여고괴담 4 : 목소리,237,2005,7,4,1,0,공포(호러),한국,1,25.8,30.1,195393,3,5,0
아일랜드,238,2005,7,3,1,0,SF,미국,0,27.1,32.5,865810,6,1,1
샤크보이와 라바걸의 모험 : 3-D,239,2005,7,3,1,0,SF,미국,0,27.1,32.5,21016,1,8,0
로봇(애니),240,2005,7,3,1,0,코미디,미국,0,23.1,26.0,188361,4,4,0
부기맨,241,2005,7,3,1,0,공포(호러),미국,0,23.1,26.0,41773,2,8,0
스텔스,242,2005,7,3,1,0,액션,미국,0,23.1,26.0,218491,3,4,0
친절한 금자씨,243,2005,7,4,1,0,스릴러,한국,1,25.4,28.5,1142930,5,1,1
웰컴 투 동막골,244,2005,8,3,1,0,전쟁,한국,1,28.5,32.5,949788,11,1,1
발리언트(애니),245,2005,8,4,1,0,코미디,영국,0,29.3,34.2,78725,2,7,0
판타스틱4,246,2005,8,3,1,0,액션,미국,0,25.2,27.5,272435,2,4,0
박수칠 때 떠나라,247,2005,8,3,1,0,드라마,한국,1,25.2,27.5,562961,5,2,1
가발,248,2005,8,4,1,0,공포(호러),한국,1,26.0,26.8,219622,2,6,0
옹박 : 두번째 미션,249,2005,8,3,1,0,액션,태국,0,25.5,30.0,165431,2,6,0
"이대로, 죽을 순 없다(Short Time)",250,2005,8,3,1,0,코미디,한국,1,25.5,30.0,269398,3,3,0
첼로-홍미주 일가 살인사건,251,2005,8,3,1,0,공포(호러),한국,1,25.5,30.0,104010,2,9,0
애프터 선셋,252,2005,8,3,1,0,코미디,미국,0,17.6,18.6,131590,3,4,0
그녀는 요술쟁이,253,2005,8,3,1,0,코미디,미국,0,17.6,18.6,134861,2,4,0
인 굿 컴퍼니,254,2005,8,4,1,0,코미디,미국,0,21.2,25.3,92085,2,7,0
크림슨 리버2,255,2005,9,3,0,0,범죄,프랑스,0,26.8,30.2,109161,2,5,0
게스후,256,2005,9,4,0,0,코미디,미국,0,25.2,27.7,97305,2,6,0
랜드 오브 데드,257,2005,9,4,0,0,공포(호러),미국,0,25.2,27.7,62235,1,10,0
가문의 위기,258,2005,9,2,0,0,코미디,한국,1,23.3,27.8,1039095,7,1,1
외출,259,2005,9,2,0,0,멜로/로맨스,한국,1,23.3,27.8,359833,3,4,0
형사 Duelist,260,2005,9,3,0,0,멜로/로맨스,한국,1,24.4,28.7,65715,4,2,0
나이트 플라이트,261,2005,9,4,0,0,스릴러,미국,0,22.6,23.7,114879,3,5,0
신데렐라맨,262,2005,9,3,0,0,드라마,미국,0,21.4,26.7,17928,4,5,0
더 독,263,2005,9,4,0,0,액션,프랑스,0,22.8,26.6,122322,2,6,0
찰리와 초콜릿 공장,264,2005,9,4,0,0,코미디,미국,0,22.8,26.6,274790,5,3,1
너는 내 운명,265,2005,9,4,0,0,멜로/로맨스,한국,1,20.1,23.2,89139,7,1,1
강력 3반,266,2005,9,3,0,0,액션,한국,1,20.8,25.2,279088,4,3,0
칠검,267,2005,9,3,0,0,액션,홍콩,0,20.8,25.2,152810,2,6,0
사랑니,268,2005,9,3,0,0,멜로/로맨스,한국,1,20.8,25.2,81872,2,8,0
보글보글 스폰지밥(애니),269,2005,9,4,0,0,애니메이션,미국,0,17.7,21.2,27413,1,10,0
미스터 주부퀴즈왕,270,2005,9,4,0,0,코미디,한국,1,17.7,21.2,15101,3,5,0
내 생애 가장 아름다운 일주일,271,2005,10,4,0,0,멜로/로맨스,한국,1,14.4,17.1,491052,6,1,1
날 미치게하는 남자,272,2005,10,4,0,0,코미디,미국,0,14.4,17.1,73916,1,9,0
당신이 사랑하는 동안에,273,2005,10,3,0,0,드라마,미국,0,17.4,21.7,68489,2,7,0
신화 : 진시황릉의 비밀,274,2005,10,3,0,0,액션,홍콩,0,17.4,21.7,215753,3,3,0
4 브라더스,275,2005,10,4,0,0,액션,미국,0,15.0,17.8,52353,1,8,0
베니스의 상인,276,2005,10,3,0,0,드라마,이탈리아,0,15.8,21.7,71750,2,6,0
퍼펙트 웨딩(몬스터 인 로),277,2005,10,3,0,0,코미디,미국,0,15.8,21.7,74489,2,8,0
새드무비,278,2005,10,3,0,0,드라마,한국,1,15.8,21.7,35992,4,2,0
케이브,279,2005,10,3,0,0,드라마,독일,0,15.8,21.7,124154,2,5,0
트랜스포터 엑스트림,280,2005,10,3,0,0,액션,미국,0,15.8,21.7,57625,1,9,0
야수와 미녀,281,2005,10,3,0,0,코미디,한국,1,14.6,20.0,300503,5,1,1
오로라 공주,282,2005,10,3,0,0,범죄,한국,1,14.6,20.0,271071,3,2,0
